edad,gq,year,sexo,tipobenr,estado,caja,mes,masaaportes,masamontoing,cantidad,sml,montoprom
60,60 a 64,2020,Mujeres,Activos,Activos,Bancaria,12,65389035.04000001,233532268.0,17,2192839.0,13737192.235294119
61,60 a 64,2020,Hombres,Activos,Activos,Bancaria,12,93804683.28000002,335016726.0,19,2192839.0,17632459.263157893
61,60 a 64,2020,Mujeres,Activos,Activos,Bancaria,12,39506414.92,141094339.0,9,2192839.0,15677148.777777778
62,60 a 64,2020,Hombres,Activos,Activos,Bancaria,12,61151518.120000005,218398279.0,13,2192839.0,16799867.615384616
62,60 a 64,2020,Mujeres,Activos,Activos,Bancaria,12,18070197.040000003,64536418.0,5,2192839.0,12907283.6
63,60 a 64,2020,Hombres,Activos,Activos,Bancaria,12,68082068.32000001,243150244.0,21,2192839.0,11578583.047619049
63,60 a 64,2020,Mujeres,Activos,Activos,Bancaria,12,6575646.5600000005,23484452.0,2,2192839.0,11742226.0
64,60 a 64,2020,Hombres,Activos,Activos,Bancaria,12,73247921.88,261599721.0,22,2192839.0,11890896.409090908
64,60 a 64,2020,Mujeres,Activos,Activos,Bancaria,12,47422117.68000001,169364706.0,6,2192839.0,28227451.0
65,65 a 69,2020,Hombres,Activos,Activos,Bancaria,12,45613398.32,162904994.0,12,2192839.0,13575416.166666666
65,65 a 69,2020,Mujeres,Activos,Activos,Bancaria,12,2384200.0,8515000.0,1,2192839.0,8515000.0
66,65 a 69,2020,Hombres,Activos,Activos,Bancaria,12,39604478.480000004,141444566.0,13,2192839.0,10880351.23076923
66,65 a 69,2020,Mujeres,Activos,Activos,Bancaria,12,9926000.000000002,35450000.0,2,2192839.0,17725000.0
67,65 a 69,2020,Hombres,Activos,Activos,Bancaria,12,55610047.64,198607313.0,14,2192839.0,14186236.642857144
67,65 a 69,2020,Mujeres,Activos,Activos,Bancaria,12,4284000.0,15300000.0,1,2192839.0,15300000.0
68,65 a 69,2020,Hombres,Activos,Activos,Bancaria,12,30729375.040000003,109747768.0,8,2192839.0,13718471.0
68,65 a 69,2020,Mujeres,Activos,Activos,Bancaria,12,9993938.64,35692638.0,3,2192839.0,11897546.0
